ProductID,ProductName,ProductBrand,Price,Quantity
1000,Test,Test,1,15
1001,Superstar Bold 2,Adidas,1.1999,0
1002,Old Skool Lite 3,Vans,0.4999,0
1003,Air Zoom Structure 2,Nike,1.2999,0
1004,Flyknit Racer,Nike,0.9999,0
1005,Superstar Foundation,Adidas,0.7999,0
1006,Old Skool,Vans,0.4499,0
1007,Air Zoom Pegasus,Nike,1.0999,0
1008,Stan Smith,Adidas,0.6999,0
1009,Sk8-Hi MTE,Vans,0.5299,0
1010,Free RN 2,Nike,0.8999,0
1011,Yung-1,Adidas,0.9999,0
1012,Authentic,Vans,0.3999,0
1013,Air Force 1,Nike,1.0999,0
1014,Gazelle,Adidas,0.7999,0
1015,Era,Vans,0.4999,0
1016,Presto Fly,Nike,0.8999,0
1017,Superstar Bold,Adidas,0.9999,0
1018,Old Skool Lite,Vans,0.3999,0
1019,Air Zoom Structure,Nike,1.0999,0
1020,Stan Smith Bold,Adidas,0.7999,0
1021,Sk8-Hi Pro,Vans,0.5999,0
1022,Free RN Flyknit,Nike,0.9999,0
1023,Yung-96,Adidas,0.8999,0
1024,Authentic Lite,Vans,0.3499,0
1025,Air Max 270,Nike,1.0999,0
1026,Gazelle Bold,Adidas,0.8999,0
1027,Era Pro,Vans,0.5499,0
1028,Presto Fly 2,Nike,0.9999,0
1029,Superstar Foundation 2,Adidas,1.0999,0
1030,Old Skool Lite 2,Vans,0.4499,0
1031,Air Zoom Pegasus 2,Nike,1.1999,0
1032,Stan Smith Pro,Adidas,0.8999,0
1033,Sk8-Hi MTE 2,Vans,0.6299,0
1034,Free RN 3,Nike,1.0999,0
1035,Yung-1 Pro,Adidas,1.0999,0
1036,Authentic Pro,Vans,0.4999,0
1037,Air Force 1 Pro,Nike,1.2999,0
1038,Gazelle Pro,Adidas,0.9999,0
1039,Era Pro 2,Vans,0.5999,0
1040,Era Pro 2,Vans,0.5999,0
1041,Presto Fly 3,Nike,1.0999,0
1042,Superstar Bold 2,Adidas,1.1999,0
1043,Old Skool Lite 3,Vans,0.4999,0
1044,Air Zoom Structure 2,Nike,1.2999,0
1045,Stan Smith Bold 2,Adidas,0.9999,0
1046,Sk8-Hi Pro 2,Vans,0.6999,0
1047,Air Force 1 Pro 2,Nike,1.3999,0
1048,Gazelle Pro 2,Adidas,1.0999,0
1049,Era Pro 3,Vans,0.6499,0
1050,Presto Fly 4,Nike,1.1999,0
1051,Superstar Bold 3,Adidas,1.2999,0
1052,Old Skool Lite 4,Vans,0.5499,0
1053,Air Zoom Structure 3,Nike,1.4999,0
1054,Stan Smith Bold 3,Adidas,1.0999,0
1055,Sk8-Hi Pro 3,Vans,0.7499,0
1056,Air Force 1 Pro 3,Nike,1.4999,0
1057,Gazelle Pro 3,Adidas,1.1999,0
1058,Era Pro 4,Vans,0.6999,0
1059,Presto Fly 5,Nike,1.2999,0
1060,Superstar Bold 4,Adidas,1.3999,0
1061,Old Skool Lite 5,Vans,0.5999,0
1062,Air Zoom Structure 4,Nike,1.5999,0
1063,Stan Smith Bold 4,Adidas,1.1999,0
1064,Sk8-Hi Pro 4,Vans,0.7999,0
1065,Air Force 1 Pro 4,Nike,1.5999,0
1066,Gazelle Pro 4,Adidas,1.2999,0
1067,Era Pro 5,Vans,0.7499,0
1068,Presto Fly 6,Nike,1.3999,0
1069,Superstar Bold 5,Adidas,1.4999,0
1070,Old Skool Lite 6,Vans,0.6499,0
1071,Air Zoom Structure 5,Nike,1.6999,0
1072,Stan Smith Bold 5,Adidas,1.2999,0
1073,Sk8-Hi Pro 5,Vans,0.8499,0
1074,Air Force 1 Pro 5,Nike,1.6999,0
1075,Gazelle Pro 5,Adidas,1.3999,0
1076,Era Pro 6,Vans,0.7999,0
1077,Presto Fly 7,Nike,1.4999,0
1078,Superstar Bold 6,Adidas,1.5999,0
1079,Old Skool Lite 7,Vans,0.6999,0
1080,Air Zoom Structure 6,Nike,1.7999,0
1081,Stan Smith Bold 6,Adidas,1.3999,0
1082,Sk8-Hi Pro 6,Vans,0.8999,0
1083,Air Force 1 Pro 6,Nike,1.7999,0
1084,Gazelle Pro 6,Adidas,1.4999,0
1085,Era Pro 7,Vans,0.8499,0
1086,Presto Fly 8,Nike,1.5999,0
1087,Free 7,Nike,1.4999,0
1088,Rival 7,Adidas,1.3999,0
1089,Sk8-Hi Pro 7,Vans,0.9299,0
1090,Air Zoom Pegasus 5,Nike,1.7999,0
1091,Stan Smith Pro 5,Adidas,1.4999,0
1092,Old Skool Lite 8,Vans,0.7499,0
1093,Air Force 1 Pro 7,Nike,1.8999,0
1094,Gazelle Pro 7,Adidas,1.5999,0
1095,Era Pro 8,Vans,0.8999,0
1096,Presto Fly 9,Nike,1.6999,0
1097,Superstar Pro 5,Adidas,1.6999,0
1098,Sk8-Hi Pro 8,Vans,0.9599,0
1099,Air Zoom Structure 7,Nike,1.8999,0
1100,Stan Smith Pro 6,Adidas,1.5999,0
1101,Old Skool Lite 9,Vans,0.7999,0
1102,Air Force 1 Pro 8,Nike,1.9999,0
1103,Gazelle Pro 8,Adidas,1.6999,0
1104,Air Max 90,Nike,0.8999,0
1105,Ultraboost 21,Adidas,1.1999,0
1106,Classic Slip-On,Vans,0.3499,0
1107,Chuck Taylor All Star,Converse,0.2999,0
1108,Old Skool,Vans,0.4599,0
1109,Gel-Kayano 28,ASICS,0.9999,0
1110,Fresh Foam 1080,New Balance,1.0499,0
1111,Air Force 1,Nike,0.7999,0
1112,Yeezy Boost 350,Adidas,1.7999,0
1113,Ignite Flash,Puma,0.3999,0
1114,ZoomX Vaporfly,Nike,1.8999,0
1115,Cloud X,On Running,1.1299,0
1116,Adilette Slides,Adidas,0.1999,0
1117,React Infinity Run,Nike,1.2499,0
1118,RS-X3 Puzzle,Puma,0.6799,0
1119,997H,New Balance,0.5999,0
1120,Classic Leather,Reebok,0.4999,0
1121,Legend Essential,Nike,0.3799,0
1122,Superstar,Adidas,0.7499,0
1123,Bamba,Decathlon,0.1299,0
1124,Club C Revenge,Reebok,0.5899,0
1125,Phantom GX,Nike,0.9999,0
1126,Floatride Energy,Reebok,0.6599,0
1127,Speedcross 5,Salomon,0.9999,0
1128,Grand Court,Adidas,0.4299,0
